ID,Product Name,Link,Product Image,Price,Details,Categories
11,WOOL BOMBER JACKET WITH ZIP,https://www.zara.com/in/en/wool-bomber-jacket-with-zip-p02893108.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2893/108/704/2/w/448/2893108704_1_1_1.jpg?ts=1693224696563': 'Image 0 of WOOL BOMBER JACKET WITH ZIP from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2893/108/704/2/w/448/2893108704_2_1_1.jpg?ts=1693224696588': 'Image 1 of WOOL BOMBER JACKET WITH ZIP from Zara'}]","₹7,590.00",Bomber jacket made of 100% wool. Featuring a V-neckline and long sleeves. Front pockets. Ribbed trims. Metal zip fastening at the front.,Jacket
12,SATIN KIMONO,https://www.zara.com/in/en/satin-kimono-p01131805.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/1131/805/804/2/w/448/1131805804_1_1_1.jpg?ts=1692274456448': 'Image 0 of SATIN KIMONO from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1131/805/804/2/w/448/1131805804_2_1_1.jpg?ts=1692274456807': 'Image 1 of SATIN KIMONO from Zara'}]","₹3,290.00","Kimono made of satin fabric. Featuring a crossover V-neckline, long sleeves with vents and crossover fastening with tied detail in the same fabric",Jacket
13,TRANSPARENT CROPPED JACKET,https://www.zara.com/in/en/transparent-cropped-jacket-p01255817.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/1255/817/990/2/w/448/1255817990_1_1_1.jpg?ts=1692874440525': 'Image 0 of TRANSPARENT CROPPED JACKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1255/817/990/2/w/448/1255817990_2_1_1.jpg?ts=1692874444557': 'Image 1 of TRANSPARENT CROPPED JACKET from Zara'}]","₹4,990.00","Transparent collared water-repellent jacket. Featuring long sleeves with tabs on the shoulders. Front pockets with zips, a belt in the same material with a rubberised buckle and crossover zip fastening at the front.",Jacket
14,SATIN FOIL BOMBER JACKET,https://www.zara.com/in/en/satin-foil-bomber-jacket-p08495350.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8495/350/808/2/w/448/8495350808_1_1_1.jpg?ts=1692884607713': 'Image 0 of SATIN FOIL BOMBER JACKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8495/350/808/2/w/448/8495350808_2_1_1.jpg?ts=1692884606898': 'Image 1 of SATIN FOIL BOMBER JACKET from Zara'}]","₹4,990.00",Bomber jacket made of metallic satin fabric. Round neck and long sleeves with elastic cuffs. Front welt pockets. Elastic hem. Contrast lining. Front fastening with metal zip.,Jacket
15,WORN EFFECT LEATHER EFFECT BIKER JACKET,https://www.zara.com/in/en/worn-effect-leather-effect-biker-jacket-p04341726.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/4341/726/802/2/w/448/4341726802_1_1_1.jpg?ts=1692874442840': 'Image 0 of WORN EFFECT LEATHER EFFECT BIKER JACKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4341/726/802/2/w/448/4341726802_2_1_1.jpg?ts=1692874444895': 'Image 1 of WORN EFFECT LEATHER EFFECT BIKER JACKET from Zara'}]","₹5,990.00",Distressed effect jacket with a lapel collar and long sleeves. Zip details on the front and shoulder tabs. Wrap front with zip fastening.,Jacket
16,OVERSIZE TRENCH COAT WITH POCKETS,https://www.zara.com/in/en/oversize-trench-coat-with-pockets-p02731259.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2731/259/711/17/w/448/2731259711_1_1_1.jpg?ts=1692952040464': 'Image 0 of OVERSIZE TRENCH COAT WITH POCKETS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2731/259/711/17/w/448/2731259711_2_1_1.jpg?ts=1692952041015': 'Image 1 of OVERSIZE TRENCH COAT WITH POCKETS from Zara'}]","₹7,590.00",Collared trench coat made of a cotton blend. Featuring long flared sleeves. Front patch pockets. Back vent at the hem. Button-up front.,Jacket
17,FAUX SUEDE TRENCH COAT,https://www.zara.com/in/en/faux-suede-trench-coat-p04968223.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/4968/223/704/2/w/448/4968223704_1_1_1.jpg?ts=1692964746030': 'Image 0 of FAUX SUEDE TRENCH COAT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4968/223/704/2/w/448/4968223704_2_1_1.jpg?ts=1692964745960': 'Image 1 of FAUX SUEDE TRENCH COAT from Zara'}]","₹4,990.00",Trench coat made of faux suede fabric. Lapel collar and long sleeves with tabs on the cuffs and shoulders. Side pockets. Belt in the same fabric with a contrast buckle. Double-breasted button fastening at the front.,Jacket
18,SOFT SHORT JACKET,https://www.zara.com/in/en/soft-short-jacket-p03046260.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3046/260/704/2/w/448/3046260704_1_1_1.jpg?ts=1692964744875': 'Image 0 of SOFT SHORT JACKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3046/260/704/2/w/448/3046260704_2_1_1.jpg?ts=1692964747149': 'Image 1 of SOFT SHORT JACKET from Zara'}]","₹3,290.00",Long sleeve collared jacket. Front patch pockets with flaps and snap-button fastening at the front.,Jacket
19,RUSTIC BOMBER JACKET,https://www.zara.com/in/en/rustic-bomber-jacket-p05584454.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/5584/454/712/2/w/448/5584454712_1_1_1.jpg?ts=1692864058362': 'Image 0 of RUSTIC BOMBER JACKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/5584/454/712/2/w/448/5584454712_2_1_1.jpg?ts=1692864058653': 'Image 1 of RUSTIC BOMBER JACKET from Zara'}]","₹4,990.00","Bomber jacket made of a cotton blend. Featuring a round neckline, long sleeves and cutwork fabric. Matching ribbed trims and metal zip fastening at the front.",Jacket
20,LINEN BLEND PLEATED BOMBER JACKET,https://www.zara.com/in/en/linen-blend-pleated-bomber-jacket-p02712468.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2712/468/832/2/w/448/2712468832_1_1_1.jpg?ts=1692776596473': 'Image 0 of LINEN BLEND PLEATED BOMBER JACKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2712/468/832/2/w/448/2712468832_2_1_1.jpg?ts=1692776597029': 'Image 1 of LINEN BLEND PLEATED BOMBER JACKET from Zara'}]","₹5,990.00",Short collared bomber jacket made of a linen blend. Long sleeves. Front welt pockets. Elastic hem with pleats. Matching lining. Zip-up front hidden by a placket.,Jacket
21,KNIT SWEATER WITH ZIP,https://www.zara.com/in/en/knit-sweater-with-zip-p05536155.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/5536/155/401/2/w/448/5536155401_1_1_1.jpg?ts=1693222806360': 'Image 0 of KNIT SWEATER WITH ZIP from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/5536/155/401/2/w/448/5536155401_2_1_1.jpg?ts=1693222806482': 'Image 1 of KNIT SWEATER WITH ZIP from Zara'}]","₹3,290.00","Sweater made of a viscose blend. Featuring a high neck with metal zip, long sleeves and matching ribbed trims.",Sweater
22,CASHMERE KNIT SWEATER,https://www.zara.com/in/en/cashmere-knit-sweater-p06771126.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/6771/126/200/2/w/448/6771126200_1_1_1.jpg?ts=1692790315045': 'Image 0 of CASHMERE KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6771/126/200/2/w/448/6771126200_2_1_1.jpg?ts=1692790313739': 'Image 1 of CASHMERE KNIT SWEATER from Zara'}]","₹11,990.00",Sweater made of a cashmere and wool blend. Round neck and long sleeves. Matching ribbed trims.,Sweater
23,WOOL BLEND BOXY-FIT KNIT SWEATER,https://www.zara.com/in/en/wool-blend-boxy-fit-knit-sweater-p03039102.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3039/102/527/17/w/448/3039102527_1_1_1.jpg?ts=1692892870664': 'Image 0 of WOOL BLEND BOXY-FIT KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3039/102/527/17/w/448/3039102527_2_1_1.jpg?ts=1692892867500': 'Image 1 of WOOL BLEND BOXY-FIT KNIT SWEATER from Zara'}]","₹3,990.00",Knit sweater made of a wool blend. Round neck and long sleeves. Matching ribbed trims.,Sweater
24,CROPPED KNIT SWEATER,https://www.zara.com/in/en/cropped-knit-sweater-p05536125.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/5536/125/809/2/w/448/5536125809_1_1_1.jpg?ts=1693222633500': 'Image 0 of CROPPED KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/5536/125/809/2/w/448/5536125809_2_1_1.jpg?ts=1693222633527': 'Image 1 of CROPPED KNIT SWEATER from Zara'}]","₹2,990.00",Cropped sweater with a round neck and long sleeves. Matching ribbed trims.,Sweater
25,OPEN KNIT POLO SWEATER,https://www.zara.com/in/en/open-knit-polo-sweater-p06427117.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/6427/117/712/2/w/448/6427117712_1_1_1.jpg?ts=1692869351811': 'Image 0 of OPEN KNIT POLO SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6427/117/712/2/w/448/6427117712_2_1_1.jpg?ts=1692869351537': 'Image 1 of OPEN KNIT POLO SWEATER from Zara'}]","₹2,990.00",Polo sweater with a Johnny collar and long sleeves. Ribbed trims.,Sweater
26,BASIC KNIT SWEATER,https://www.zara.com/in/en/basic-knit-sweater-p01509115.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/1509/115/108/17/w/448/1509115108_1_1_1.jpg?ts=1692352262228': 'Image 0 of BASIC KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1509/115/108/17/w/448/1509115108_2_1_1.jpg?ts=1692352259659': 'Image 1 of BASIC KNIT SWEATER from Zara'}]",₹990.00,"Round neck sweater featuring long sleeves, side vents at the hem and ribbed trims.",Sweater
27,100% WOOL KNIT SWEATER,https://www.zara.com/in/en/100-wool-knit-sweater-p02893106.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2893/106/809/4/w/448/2893106809_1_1_1.jpg?ts=1692271338379': 'Image 0 of 100% WOOL KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2893/106/809/4/w/448/2893106809_2_1_1.jpg?ts=1692271049473': 'Image 1 of 100% WOOL KNIT SWEATER from Zara'}]","₹4,990.00","Sweater made of 100% wool. Featuring a round neckline, long sleeves and ribbed trims.",Sweater
28,BASIC KNIT SWEATER,https://www.zara.com/in/en/basic-knit-sweater-p08851121.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8851/121/800/10/w/448/8851121800_1_1_1.jpg?ts=1692271054086': 'Image 0 of BASIC KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8851/121/800/10/w/448/8851121800_2_1_1.jpg?ts=1692271049482': 'Image 1 of BASIC KNIT SWEATER from Zara'}]","₹1,890.00",Round neck sweater with long sleeves and decorative gold buttons. Ribbed trims.,Sweater
29,BASIC HIGH NECK KNIT SWEATER,https://www.zara.com/in/en/basic-high-neck-knit-sweater-p08851123.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8851/123/800/22/w/448/8851123800_1_1_1.jpg?ts=1693219160353': 'Image 0 of BASIC HIGH NECK KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8851/123/800/22/w/448/8851123800_2_1_1.jpg?ts=1693219160248': 'Image 1 of BASIC HIGH NECK KNIT SWEATER from Zara'}]","₹1,890.00","Sweater featuring a high neck, long sleeves with decorative metal buttons and ribbed trims.",Sweater
30,STRIPED KNIT SWEATER,https://www.zara.com/in/en/striped-knit-sweater-p03433011.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3433/011/066/17/w/448/3433011066_1_1_1.jpg?ts=1692352267261': 'Image 0 of STRIPED KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3433/011/066/17/w/448/3433011066_2_1_1.jpg?ts=1692352260061': 'Image 1 of STRIPED KNIT SWEATER from Zara'}]","₹2,290.00",Round neck sweater with long sleeves.,Sweater
31,V-NECK CABLE-KNIT SWEATER,https://www.zara.com/in/en/v-neck-cable-knit-sweater-p01509111.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/1509/111/401/2/w/448/1509111401_1_1_1.jpg?ts=1691580359390': 'Image 0 of V-NECK CABLE-KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1509/111/401/2/w/448/1509111401_2_1_1.jpg?ts=1691580361027': 'Image 1 of V-NECK CABLE-KNIT SWEATER from Zara'}]","₹2,990.00",Long sleeve V-neck sweater.,Sweater
32,100% WOOL KNIT POLO SWEATER,https://www.zara.com/in/en/100-wool-knit-polo-sweater-p09598170.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/9598/170/802/2/w/448/9598170802_1_1_1.jpg?ts=1692790313373': 'Image 0 of 100% WOOL KNIT POLO SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9598/170/802/2/w/504/9598170802_2_1_1.jpg?ts=1692790315858': 'Image 1 of 100% WOOL KNIT POLO SWEATER from Zara'}]","₹4,990.00","Fitted sweater made of 100% extra soft wool. Featuring a polo collar, long sleeves and front button fastening.",Sweater
33,CASHMERE KNIT SWEATER,https://www.zara.com/in/en/cashmere-knit-sweater-p03644104.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3644/104/807/18/w/448/3644104807_1_1_1.jpg?ts=1692201089694': 'Image 0 of CASHMERE KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3644/104/807/2/w/448/3644104807_6_1_1.jpg?ts=1691581507403': 'Image 1 of CASHMERE KNIT SWEATER from Zara'}]","₹10,990.00",Sweater made of a cashmere blend. Featuring a V-neck and long sleeves.,Sweater
34,TAILORED DOUBLE-BREASTED BLAZER,https://www.zara.com/in/en/tailored-double-breasted-blazer-p07608548.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7608/548/800/21/w/448/7608548800_2_1_1.jpg?ts=1691149647678': 'Image 0 of TAILORED DOUBLE-BREASTED BLAZER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7608/548/800/21/w/448/7608548800_2_3_1.jpg?ts=1691149650997': 'Image 1 of TAILORED DOUBLE-BREASTED BLAZER from Zara'}]","₹5,590.00",Blazer featuring a lapel collar with long sleeves and padded shoulders. Front flap pockets. Double-breasted button fastening on the front.,Blazer
35,STRIPE TEXTURED BLAZER,https://www.zara.com/in/en/stripe-textured-blazer-p08341112.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8341/112/070/2/w/448/8341112070_1_1_1.jpg?ts=1691577078132': 'Image 0 of STRIPE TEXTURED BLAZER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8341/112/070/2/w/448/8341112070_2_1_1.jpg?ts=1691577081173': 'Image 1 of STRIPE TEXTURED BLAZER from Zara'}]","₹5,990.00",Lapelless blazer with long sleeves and shoulder pads. Front patch pockets. Metal hook fastening at the front.,Blazer
36,TAILORED WAISTCOAT,https://www.zara.com/in/en/tailored-waistcoat-p02753535.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2753/535/800/2/w/448/2753535800_1_1_1.jpg?ts=1691758137247': 'Image 0 of TAILORED WAISTCOAT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2753/535/800/2/w/448/2753535800_2_1_1.jpg?ts=1691758139956': 'Image 1 of TAILORED WAISTCOAT from Zara'}]","₹2,990.00",Sleeveless waistcoat with a V-neck. Front jetted pockets on the front. Button-up front.,Blazer
37,STRAIGHT BLAZER,https://www.zara.com/in/en/straight-blazer-p09929327.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/9929/327/526/2/w/448/9929327526_1_1_1.jpg?ts=1691758471978': 'Image 0 of STRAIGHT BLAZER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9929/327/526/2/w/448/9929327526_2_1_1.jpg?ts=1691758471951': 'Image 1 of STRAIGHT BLAZER from Zara'}]","₹4,990.00",Blazer featuring a lapel collar with long sleeves and padded shoulders. Front flap pockets. Single button fastening on the front.,Blazer
38,BLAZER WITH ROLLED-UP SLEEVES,https://www.zara.com/in/en/blazer-with-rolled-up-sleeves-p02140760.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2140/760/800/12/w/448/2140760800_1_1_1.jpg?ts=1689595278875': 'Image 0 of BLAZER WITH ROLLED-UP SLEEVES from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2140/760/800/12/w/448/2140760800_2_1_1.jpg?ts=1689595281355': 'Image 1 of BLAZER WITH ROLLED-UP SLEEVES from Zara'}]","₹4,490.00",Open blazer with a lapel collar and padded shoulders. Turn-up sleeves falling below the elbow with sleeve tabs and a golden button. Front flap pockets.,Blazer
39,HIGH NECK TEXTURED BLAZER,https://www.zara.com/in/en/high-neck-textured-blazer-p08001513.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8001/513/251/2/w/448/8001513251_6_1_1.jpg?ts=1690529214282': 'Image 0 of HIGH NECK TEXTURED BLAZER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8001/513/251/2/w/448/8001513251_6_2_1.jpg?ts=1690529213391': 'Image 1 of HIGH NECK TEXTURED BLAZER from Zara'}]","₹5,990.00",Blazer featuring a high neck and long sleeves with padded shoulders. False flap pockets and front patch pockets. Front hook fastening.,Blazer
40,SHORT TAILORED WAISTCOAT,https://www.zara.com/in/en/short-tailored-waistcoat-p09929329.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/9929/329/704/2/w/448/9929329704_1_1_1.jpg?ts=1693208680604': 'Image 0 of SHORT TAILORED WAISTCOAT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9929/329/704/2/w/448/9929329704_2_1_1.jpg?ts=1693208681036': 'Image 1 of SHORT TAILORED WAISTCOAT from Zara'}]","₹2,990.00",V-neck waistcoat. Featuring false welt pockets and button fastening on the front.,Blazer
41,FITTED BLAZER WITH SEAMS,https://www.zara.com/in/en/fitted-blazer-with-seams-p02753345.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2753/345/401/2/w/448/2753345401_1_1_1.jpg?ts=1692352292134': 'Image 0 of FITTED BLAZER WITH SEAMS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2753/345/401/2/w/448/2753345401_2_1_1.jpg?ts=1692352293592': 'Image 1 of FITTED BLAZER WITH SEAMS from Zara'}]","₹5,990.00",Blazer with a lapel collar and long sleeves with shoulder pads. Front flap pockets. Visible seam detail on the waist. Fastens at the front with buttons.,Blazer
42,LONG BLAZER WITH BELT,https://www.zara.com/in/en/long-blazer-with-belt-p08165642.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8165/642/420/2/w/448/8165642420_1_1_1.jpg?ts=1692362193581': 'Image 0 of LONG BLAZER WITH BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8165/642/420/2/w/448/8165642420_2_1_1.jpg?ts=1692362193644': 'Image 1 of LONG BLAZER WITH BELT from Zara'}]","₹7,590.00","Blazer with a lapel collar, long sleeves and shoulder pads. Front flap pockets. Belt with buckle lined in matching fabric. Contrast lining. Double-breasted fastening with covered buttons.",Blazer
43,CROPPED BLAZER WITH FEATHERS,https://www.zara.com/in/en/cropped-blazer-with-feathers-p07602484.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7602/484/631/2/w/448/7602484631_1_1_1.jpg?ts=1689579070170': 'Image 0 of CROPPED BLAZER WITH FEATHERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7602/484/631/2/w/0/7602484631_2_1_1.jpg?ts=1689579070263': 'Image 1 of CROPPED BLAZER WITH FEATHERS from Zara'}]","₹11,990.00",Cropped blazer featuring a lapel collar and long sleeves with matching detachable feathers. False welt pockets on the front. Matching lining. Front button fastening.,Blazer
44,CAPE BLAZER,https://www.zara.com/in/en/cape-blazer-p02876187.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2876/187/712/22/w/448/2876187712_1_1_1.jpg?ts=1687531940333': 'Image 0 of CAPE BLAZER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2876/187/712/22/w/448/2876187712_2_1_1.jpg?ts=1687532476431': 'Image 1 of CAPE BLAZER from Zara'}]","₹5,990.00","Open blazer with no lapels, long cape-style sleeves and matching lining.",Blazer
